vals,stats,mu,model,order,r,s,demo
1040,9.66752e-07,pi2_0_0_0_0,1e-08,12,10,0.001,-0.1,constant
1041,4.76188e-09,DD_0_0,1e-08,12,20,0.001,-0.1,constant
1042,1.83944e-10,Dr_0_0_l_0,1e-08,12,20,0.001,-0.1,constant
1043,0.00096668,Hl_0_0,1e-08,12,20,0.001,-0.1,constant
1044,0.00099999,Hr_0_0,1e-08,12,20,0.001,-0.1,constant
1045,9.66752e-07,pi2_0_0_0_0,1e-08,12,20,0.001,-0.1,constant
1046,4.76181e-09,DD_0_0,1e-08,12,100,0.001,-0.1,constant
1047,1.84142e-10,Dr_0_0_l_0,1e-08,12,100,0.001,-0.1,constant
1048,0.00096668,Hl_0_0,1e-08,12,100,0.001,-0.1,constant
1049,0.00099999,Hr_0_0,1e-08,12,100,0.001,-0.1,constant
1050,9.66752e-07,pi2_0_0_0_0,1e-08,12,100,0.001,-0.1,constant
1051,2.99244e-07,DD_0_0,1e-08,13,2,1e-08,-1,constant
1052,2.46961e-07,Dr_0_0_l_0,1e-08,13,2,1e-08,-1,constant
1053,0.000678571,Hl_0_0,1e-08,13,2,1e-08,-1,constant
1054,0.000999873,Hr_0_0,1e-08,13,2,1e-08,-1,constant
1055,7.87818e-07,pi2_0_0_0_0,1e-08,13,2,1e-08,-1,constant
1056,3.12568e-07,DD_0_0,1e-08,13,5,1e-08,-1,constant
1057,2.59182e-07,Dr_0_0_l_0,1e-08,13,5,1e-08,-1,constant
1058,0.000686975,Hl_0_0,1e-08,13,5,1e-08,-1,constant
1059,0.000999868,Hr_0_0,1e-08,13,5,1e-08,-1,constant
1060,8.02913e-07,pi2_0_0_0_0,1e-08,13,5,1e-08,-1,constant
1061,3.12605e-07,DD_0_0,1e-08,13,10,1e-08,-1,constant
1062,2.5922e-07,Dr_0_0_l_0,1e-08,13,10,1e-08,-1,constant
1063,0.000686964,Hl_0_0,1e-08,13,10,1e-08,-1,constant
1064,0.000999868,Hr_0_0,1e-08,13,10,1e-08,-1,constant
1065,8.02935e-07,pi2_0_0_0_0,1e-08,13,10,1e-08,-1,constant
1066,3.12605e-07,DD_0_0,1e-08,13,20,1e-08,-1,constant
1067,2.5922e-07,Dr_0_0_l_0,1e-08,13,20,1e-08,-1,constant
1068,0.000686964,Hl_0_0,1e-08,13,20,1e-08,-1,constant
1069,0.000999868,Hr_0_0,1e-08,13,20,1e-08,-1,constant
1070,8.02935e-07,pi2_0_0_0_0,1e-08,13,20,1e-08,-1,constant
1071,3.12604e-07,DD_0_0,1e-08,13,100,1e-08,-1,constant
1072,2.5922e-07,Dr_0_0_l_0,1e-08,13,100,1e-08,-1,constant
1073,0.000686964,Hl_0_0,1e-08,13,100,1e-08,-1,constant
1074,0.000999868,Hr_0_0,1e-08,13,100,1e-08,-1,constant
1075,8.02934e-07,pi2_0_0_0_0,1e-08,13,100,1e-08,-1,constant
1076,2.9643e-07,DD_0_0,1e-08,14,2,1e-07,-1,constant
1077,2.44247e-07,Dr_0_0_l_0,1e-08,14,2,1e-07,-1,constant
1078,0.000678571,Hl_0_0,1e-08,14,2,1e-07,-1,constant
1079,0.000999874,Hr_0_0,1e-08,14,2,1e-07,-1,constant
1080,7.86607e-07,pi2_0_0_0_0,1e-08,14,2,1e-07,-1,constant
1081,3.09512e-07,DD_0_0,1e-08,14,5,1e-07,-1,constant
1082,2.56232e-07,Dr_0_0_l_0,1e-08,14,5,1e-07,-1,constant
1083,0.000686975,Hl_0_0,1e-08,14,5,1e-07,-1,constant
1084,0.000999869,Hr_0_0,1e-08,14,5,1e-07,-1,constant
1085,8.01581e-07,pi2_0_0_0_0,1e-08,14,5,1e-07,-1,constant
1086,3.09548e-07,DD_0_0,1e-08,14,10,1e-07,-1,constant
1087,2.56269e-07,Dr_0_0_l_0,1e-08,14,10,1e-07,-1,constant
1088,0.000686964,Hl_0_0,1e-08,14,10,1e-07,-1,constant
1089,0.000999869,Hr_0_0,1e-08,14,10,1e-07,-1,constant
1090,8.01602e-07,pi2_0_0_0_0,1e-08,14,10,1e-07,-1,constant
1091,3.09548e-07,DD_0_0,1e-08,14,20,1e-07,-1,constant
1092,2.56269e-07,Dr_0_0_l_0,1e-08,14,20,1e-07,-1,constant
1093,0.000686964,Hl_0_0,1e-08,14,20,1e-07,-1,constant
1094,0.000999869,Hr_0_0,1e-08,14,20,1e-07,-1,constant
1095,8.01602e-07,pi2_0_0_0_0,1e-08,14,20,1e-07,-1,constant
1096,3.09548e-07,DD_0_0,1e-08,14,100,1e-07,-1,constant
1097,2.5627e-07,Dr_0_0_l_0,1e-08,14,100,1e-07,-1,constant
1098,0.000686964,Hl_0_0,1e-08,14,100,1e-07,-1,constant
1099,0.000999869,Hr_0_0,1e-08,14,100,1e-07,-1,constant
1100,8.01603e-07,pi2_0_0_0_0,1e-08,14,100,1e-07,-1,constant
1101,2.71055e-07,DD_0_0,1e-08,15,2,1e-06,-1,constant
1102,2.19824e-07,Dr_0_0_l_0,1e-08,15,2,1e-06,-1,constant
1103,0.000678571,Hl_0_0,1e-08,15,2,1e-06,-1,constant
1104,0.000999886,Hr_0_0,1e-08,15,2,1e-06,-1,constant
